name,address,phone,website,rating,reviews_count,category,google_maps_url
Ansaar Clinic Chandigarh,"PQ4F+FV5, 32C, Sector 32, Chandigarh, 160030 ",,https://ansaarclinic.com/,,,Medical clinic,"https://www.google.com/maps/place/Ansaar+Clinic+Chandigarh/@30.7169421,76.7613019,13z/data=!4m10!1m2!2m1!1smedical+clinics++in+Chandigarh!3m6!1s0x390fed0064a35781:0xb0347c43f5a6b2aa!8m2!3d30.7065501!4d76.7745289!15sCh5tZWRpY2FsIGNsaW5pY3MgIGluIENoYW5kaWdhcmiSAQ5tZWRpY2FsX2NsaW5pY-ABAA!16s%2Fg%2F11lnshnss3?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
Santokh Hospital,"846, Dakshin Marg, Sector 38A, Sector 38, Chandigarh, 160014 ",085588 66846 ,https://santokhhospital.com/,4.7,,Hospital,"https://www.google.com/maps/place/Santokh+Hospital/@30.7169421,76.7613019,13z/data=!4m10!1m2!2m1!1smedical+clinics++in+Chandigarh!3m6!1s0x390fedee591d7d53:0xcbb4e5fc949ed282!8m2!3d30.747784!4d76.749011!15sCh5tZWRpY2FsIGNsaW5pY3MgIGluIENoYW5kaWdhcmhaHyIdbWVkaWNhbCBjbGluaWNzIGluIGNoYW5kaWdhcmiSAQhob3NwaXRhbOABAA!16s%2Fg%2F11ckvvlx8v?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
Healthwise Clinic,"S.C.O 8 Sector 21 C, Chandigarh, 160022 ",091156 69900 ,https://drdeeptiarora.com/,4.7,65,Doctor,"https://www.google.com/maps/place/Healthwise+Clinic/@30.747784,76.6769132,13z/data=!4m10!1m2!2m1!1smedical+clinics++in+Chandigarh!3m6!1s0x390fedaa267c8bbf:0xba1290c126ddbc3e!8m2!3d30.7245114!4d76.7786158!15sCh5tZWRpY2FsIGNsaW5pY3MgIGluIENoYW5kaWdhcmhaHyIdbWVkaWNhbCBjbGluaWNzIGluIGNoYW5kaWdhcmiSAQZkb2N0b3LgAQA!16s%2Fg%2F11f1rfvl5j?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
Famicare Clinic,"3, Sector 15-A, Sector 15, Chandigarh, 160015 ",0172 277 0002 ,,3.9,,Occupational medical physician,"https://www.google.com/maps/place/Famicare+Clinic/@30.747784,76.6769132,13z/data=!4m10!1m2!2m1!1smedical+clinics++in+Chandigarh!3m6!1s0x390fed9a88828b4f:0x1639fcf6ab401a8f!8m2!3d30.7548607!4d76.7702793!15sCh5tZWRpY2FsIGNsaW5pY3MgIGluIENoYW5kaWdhcmhaHyIdbWVkaWNhbCBjbGluaWNzIGluIGNoYW5kaWdhcmiSAR5vY2N1cGF0aW9uYWxfbWVkaWNhbF9waHlzaWNpYW6aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUklMWFZQU0V0UkVBReABAPoBBAgtECc!16s%2Fg%2F1tj1_y6v?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
Panacea Clinic,"1160, Sector 33C, Sector 33, Chandigarh, 160020 ",099884 43399 ,,5.0,33,Medical clinic,"https://www.google.com/maps/place/Panacea+Clinic/@30.747784,76.6769132,13z/data=!4m10!1m2!2m1!1smedical+clinics++in+Chandigarh!3m6!1s0x390fedec958b8a81:0xdad179c959e8b5fc!8m2!3d30.711078!4d76.769981!15sCh5tZWRpY2FsIGNsaW5pY3MgIGluIENoYW5kaWdhcmhaHyIdbWVkaWNhbCBjbGluaWNzIGluIGNoYW5kaWdhcmiSAQ5tZWRpY2FsX2NsaW5pY5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOYWFEWmxOMlpCRUFF4AEA-gEECHUQLQ!16s%2Fg%2F11ghlt6nmw?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
Cloudnine Hospital - Chandigarh | Best Maternity & Pregnancy Centre,"Plot No: 48, Industrial Area Phase II, Chandigarh, 160002 ",099728 99728 ,https://www.cloudninecare.com/centre/industrial-area-phase-ii?utm_city=chandigarh&utm_source=gmb&utm_medium=organic&utm_campaign=chandigarh+industrial-area-phase-ii+c9-hospital-gmb-website+c9-hospital-industrial-area-phase-ii&utm_content=website-button,4.7,3888,Maternity Centre,"https://www.google.com/maps/place/Cloudnine+Hospital+-+Chandigarh+%7C+Best+Maternity+%26+Pregnancy+Centre/@30.747784,76.6769132,13z/data=!4m10!1m2!2m1!1smedical+clinics++in+Chandigarh!3m6!1s0x390fecf305a2d351:0x46dbd6e5ebd44ac4!8m2!3d30.7003308!4d76.7877635!15sCh5tZWRpY2FsIGNsaW5pY3MgIGluIENoYW5kaWdhcmhaHyIdbWVkaWNhbCBjbGluaWNzIGluIGNoYW5kaWdhcmiSARJtYXRlcm5pdHlfaG9zcGl0YWyaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnhhVkdGdFdUVlpla1o1VkRBeGVGTXpVbVpPTVZwcllqTmtjRmRyUlJBQuABAPoBBAgAEDg!16s%2Fg%2F11df0q67ft?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
Dr. Jaskaran's Svasthya Clinic - Pediatrician & Child Specialist in Chandigarh,"SCF no 4, 2 bays, 20C, Chandigarh, 160020 ",062833 67611 ,http://svasthyaclinics.com/,4.8,45,Pediatrician,"https://www.google.com/maps/place/Dr.+Jaskaran's+Svasthya+Clinic+-+Pediatrician+%26+Child+Specialist+in+Chandigarh/@30.7003308,76.7156657,13z/data=!4m10!1m2!2m1!1smedical+clinics++in+Chandigarh!3m6!1s0x390fed106ea5d3af:0x4dea02ae05f6d24f!8m2!3d30.7200333!4d76.7827131!15sCh5tZWRpY2FsIGNsaW5pY3MgIGluIENoYW5kaWdhcmhaHyIdbWVkaWNhbCBjbGluaWNzIGluIGNoYW5kaWdhcmiSAQxwZWRpYXRyaWNpYW6aAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjVCZVdFd09UWmpWelUwVkd4Uk1rMUVhSHBsYmxVellqSkdNbE5XUlJBQuABAPoBBAhNEDY!16s%2Fg%2F11hf03166r?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
Rampal Clinic,"SCF-5 RAMPAL CLINIC --D, Sector 20, Chandigarh, 160020 ",0172 270 8696 ,,4.0,58,Medical clinic,"https://www.google.com/maps/place/Rampal+Clinic/@30.7003308,76.7156657,13z/data=!4m10!1m2!2m1!1smedical+clinics++in+Chandigarh!3m6!1s0x390feda4a4306505:0xf83d295450e585d4!8m2!3d30.7226403!4d76.7791788!15sCh5tZWRpY2FsIGNsaW5pY3MgIGluIENoYW5kaWdhcmhaHyIdbWVkaWNhbCBjbGluaWNzIGluIGNoYW5kaWdhcmiSAQ5tZWRpY2FsX2NsaW5pY5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSTU9UaFVTeTFCUlJBQuABAPoBBAheEC4!16s%2Fg%2F1tc_pd7w?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
"Healing Chandigarh Advanced ENT (Ear, Nose, Throat) Center: Tonsil & Sleep Apnea Specialists","SCO 21-22 First Floor, Sector 34A, Sector 34, Chandigarh, 160022 ",094643 43434 ,https://healinghospital.co.in/best-ent-hospital-surgeon-chandigarh/,4.9,529,ENT Specialist,"https://www.google.com/maps/place/Healing+Chandigarh+Advanced+ENT+(Ear,+Nose,+Throat)+Center:+Tonsil+%26+Sleep+Apnea+Specialists/@30.7003308,76.7156657,13z/data=!4m10!1m2!2m1!1smedical+clinics++in+Chandigarh!3m6!1s0x390fed786e59f527:0x34b0fcd4e8c108b5!8m2!3d30.7247212!4d76.768698!15sCh5tZWRpY2FsIGNsaW5pY3MgIGluIENoYW5kaWdhcmhaHyIdbWVkaWNhbCBjbGluaWNzIGluIGNoYW5kaWdhcmiSARBvdG9sYXJ5bmdvbG9naXN04AEA!16s%2Fg%2F11vyrnp8lq?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
Chhabra Clinic,"PQ7Q+8P5, Block B, CSIO Colony, 30C, Sector 30, Chandigarh, 160030 ",0172 265 1777 ,,4.7,15,Medical clinic,"https://www.google.com/maps/place/Chhabra+Clinic/@30.7003308,76.7156657,13z/data=!4m10!1m2!2m1!1smedical+clinics++in+Chandigarh!3m6!1s0x390fecfb0da56dab:0xcf094f2e2a481d9b!8m2!3d30.7132711!4d76.7893682!15sCh5tZWRpY2FsIGNsaW5pY3MgIGluIENoYW5kaWdhcmhaHyIdbWVkaWNhbCBjbGluaWNzIGluIGNoYW5kaWdhcmiSAQ5tZWRpY2FsX2NsaW5pY5oBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQycGtlVkpZYUhWYVJYQjBWMWRPU1ZwcmFERmxhMlJEVlVjMVVGRnJSUkFC4AEA-gEECAAQPA!16s%2Fg%2F1pt_qpzlp?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
"Mohali Medical Centre, Best Orthodontics in Mohali Chandigarh","Oppo BASSI CINEMA, Phase 2, Sector 54, Sahibzada Ajit Singh Nagar, Punjab 160055 ",,http://mmedicalcentre.com/,4.8,38,Nursing home,"https://www.google.com/maps/place/Mohali+Medical+Centre,+Best+Orthodontics+in+Mohali+Chandigarh/@30.7003308,76.7156657,13z/data=!4m10!1m2!2m1!1smedical+clinics++in+Chandigarh!3m6!1s0x390fef56b5fb0fa3:0x8ce19100b5a5edff!8m2!3d30.7246295!4d76.7275469!15sCh5tZWRpY2FsIGNsaW5pY3MgIGluIENoYW5kaWdhcmhaHyIdbWVkaWNhbCBjbGluaWNzIGluIGNoYW5kaWdhcmiSAQxudXJzaW5nX2hvbWWaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnBhYkZVeVZtMWphbEpvVFd4S2FFeFZXVEZWYlU1dFl6QlNSbFF6WXhBQuABAPoBBAh9EEc!16s%2Fg%2F11gxqkbm4s?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
Ansaar Clinic Chandigarh,"PQ4F+FV5, 32C, Sector 32, Chandigarh, 160030 ",,https://ansaarclinic.com/,,,Medical clinic,"https://www.google.com/maps/place/Ansaar+Clinic+Chandigarh/@30.7246295,76.6554491,13z/data=!4m10!1m2!2m1!1smedical+clinics++in+Chandigarh!3m6!1s0x390fed0064a35781:0xb0347c43f5a6b2aa!8m2!3d30.7065501!4d76.7745289!15sCh5tZWRpY2FsIGNsaW5pY3MgIGluIENoYW5kaWdhcmiSAQ5tZWRpY2FsX2NsaW5pY-ABAA!16s%2Fg%2F11lnshnss3?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
Mukat Hospital,"S.C.O 47 49, Dakshin Marg, Sector 34A, Sector 34, Chandigarh, 160022 ",090238 84444 ,https://www.mukathospital.com/#booking-form,4.5,1894,Hospital,"https://www.google.com/maps/place/Mukat+Hospital/@30.7065501,76.7024311,13z/data=!4m10!1m2!2m1!1smedical+clinics++in+Chandigarh!3m6!1s0x390fedb315555551:0x31a8410f96dd6b9!8m2!3d30.7229206!4d76.7705566!15sCh5tZWRpY2FsIGNsaW5pY3MgIGluIENoYW5kaWdhcmhaHyIdbWVkaWNhbCBjbGluaWNzIGluIGNoYW5kaWdhcmiSAQhob3NwaXRhbJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSV2VXOWxZV1YzRUFF4AEA-gEECDMQRQ!16s%2Fg%2F1tk6ywtn?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
Panacea Clinic,"1160, Sector 33C, Sector 33, Chandigarh, 160020 ",099884 43399 ,,5.0,33,Medical clinic,"https://www.google.com/maps/place/Panacea+Clinic/@30.7065501,76.7024311,13z/data=!4m10!1m2!2m1!1smedical+clinics++in+Chandigarh!3m6!1s0x390fedec958b8a81:0xdad179c959e8b5fc!8m2!3d30.711078!4d76.769981!15sCh5tZWRpY2FsIGNsaW5pY3MgIGluIENoYW5kaWdhcmhaHyIdbWVkaWNhbCBjbGluaWNzIGluIGNoYW5kaWdhcmiSAQ5tZWRpY2FsX2NsaW5pY5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOYWFEWmxOMlpCRUFF4AEA-gEECHUQLQ!16s%2Fg%2F11ghlt6nmw?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
Healing Hospital | Best Maternity & Child Care Hospital in Chandigarh,"SCO 17, Piccadily Rd, Sub. City Center, Sector 34A, Sector 34, Chandigarh, 160022 ",084272 43434 ,https://healinghospital.co.in/gynecology/,4.9,666,Maternity Centre,"https://www.google.com/maps/place/Healing+Hospital+%7C+Best+Maternity+%26+Child+Care+Hospital+in+Chandigarh/@30.7065501,76.7024311,13z/data=!4m10!1m2!2m1!1smedical+clinics++in+Chandigarh!3m6!1s0x390fedf02abe06c5:0xbe9d3e8104874115!8m2!3d30.7246361!4d76.7687978!15sCh5tZWRpY2FsIGNsaW5pY3MgIGluIENoYW5kaWdhcmhaHyIdbWVkaWNhbCBjbGluaWNzIGluIGNoYW5kaWdhcmiSARJtYXRlcm5pdHlfaG9zcGl0YWyaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnN4ZEUxdWJIVmpWekZ5WkVSb2RWVkhhRVJqTTFadlkyMUtSMlJZWXhBQuABAPoBBAhCED0!16s%2Fg%2F11w8r603gz?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
Angel Care Medi Clinic,"Sco 1 & 2, Sector 51A, Sector 51, Chandigarh, 160043 ",0172 796 0701 ,,5.0,10,Hospital,"https://www.google.com/maps/place/Angel+Care+Medi+Clinic/@30.7065501,76.7024311,13z/data=!4m10!1m2!2m1!1smedical+clinics++in+Chandigarh!3m6!1s0x390fed77de4f8959:0x9760cb531cc8bab0!8m2!3d30.7095039!4d76.7453201!15sCh5tZWRpY2FsIGNsaW5pY3MgIGluIENoYW5kaWdhcmhaHyIdbWVkaWNhbCBjbGluaWNzIGluIGNoYW5kaWdhcmiSAQhob3NwaXRhbJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VRMWR6YzNUMlJCRUFF4AEA-gEECAAQEQ!16s%2Fg%2F11vbv3w2_f?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
Mehar Clinic: Dr Siddiqui,"2421, Phase-2, Ram Darbar, Chandigarh, 160002 ",,,5.0,11,Medical clinic,"https://www.google.com/maps/place/Mehar+Clinic:+Dr+Siddiqui/@30.7065501,76.7024311,13z/data=!4m10!1m2!2m1!1smedical+clinics++in+Chandigarh!3m6!1s0x390fede3fb9684df:0xe21ce0cd6aa7586b!8m2!3d30.6924389!4d76.7944092!15sCh5tZWRpY2FsIGNsaW5pY3MgIGluIENoYW5kaWdhcmhaHyIdbWVkaWNhbCBjbGluaWNzIGluIGNoYW5kaWdhcmiSAQ5tZWRpY2FsX2NsaW5pY5oBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyNU9VRk5zVVRGVWVsWlhXVzFXVjFSRE1VNWtWVTVPVlVoR1JWcHRZeEFC4AEA-gEECGgQOQ!16s%2Fg%2F11s8_ml60m?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
The ONE Chandigarh,"SCO 112, Madhya Marg, Sector 8C, Sector 8, Chandigarh, 160009 ",0172 450 8587 ,https://theonechandigarh.com/,4.8,18,Medical Center,"https://www.google.com/maps/place/The+ONE+Chandigarh/@30.7065501,76.7024311,13z/data=!4m10!1m2!2m1!1smedical+clinics++in+Chandigarh!3m6!1s0x390fed3c9f5f50d5:0x4ed38b0db99d9f3b!8m2!3d30.7376366!4d76.7947665!15sCh5tZWRpY2FsIGNsaW5pY3MgIGluIENoYW5kaWdhcmhaHyIdbWVkaWNhbCBjbGluaWNzIGluIGNoYW5kaWdhcmiSAQ5tZWRpY2FsX2NlbnRlcuABAA!16s%2Fg%2F11w23yhhqz?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
Vivant Clinic,"SCO 290,First Floor, Sector 32D, Chandigarh, 160030 ",094177 79250 ,http://vivanthealthcare.in/,4.7,160,Skin care clinic,"https://www.google.com/maps/place/Vivant+Clinic/@30.7065501,76.7024311,13z/data=!3m1!5s0x390fec574c8030a7:0x150c49b26cfde583!4m10!1m2!2m1!1smedical+clinics++in+Chandigarh!3m6!1s0x390fec574b00d249:0xc3a46a5e65806a27!8m2!3d30.7089395!4d76.7745349!15sCh5tZWRpY2FsIGNsaW5pY3MgIGluIENoYW5kaWdhcmhaHyIdbWVkaWNhbCBjbGluaWNzIGluIGNoYW5kaWdhcmiSARBza2luX2NhcmVfY2xpbmljmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJwU1RGRXhWWGRTYkhCellsaEtUVm95VW14a1ZXaFZWWHBKZVZJeFJSQULgAQD6AQQIABAy!16s%2Fg%2F11c2pnr1lm?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
